Month,diet,gym,finance
2004-01,100,30,49
2004-02,77,27,49
2004-03,71,25,46
2004-04,70,22,47
2004-05,74,23,43
2004-06,66,23,45
2004-07,63,24,46
2004-08,59,27,46
2004-09,56,27,46
2004-10,52,25,44
2004-11,51,24,43
2004-12,43,24,42
2005-01,66,33,45
2005-02,57,29,47
2005-03,57,27,46
2005-04,56,25,45
2005-05,59,25,44
2005-06,54,25,45
2005-07,53,25,45
2005-08,53,28,45
2005-09,46,27,45
2005-10,47,26,45
2005-11,44,26,42
2005-12,39,25,39
2006-01,63,34,45
2006-02,53,29,45
2006-03,52,28,48
2006-04,51,26,47
2006-05,51,26,46
2006-06,53,26,45
2006-07,51,27,44
2006-08,51,30,45
2006-09,46,30,46
2006-10,45,28,47
2006-11,43,27,45
2006-12,37,27,41
2007-01,58,36,48
2007-02,49,33,49
2007-03,52,31,49
2007-04,54,32,49
2007-05,49,32,48
2007-06,49,31,47
2007-07,49,31,51
2007-08,45,32,53
2007-09,46,32,51
2007-10,43,27,52
2007-11,40,27,51
2007-12,35,27,44
2008-01,54,36,54
2008-02,47,31,51
2008-03,45,29,52
2008-04,48,28,53
2008-05,45,27,49
2008-06,43,27,50
2008-07,44,28,52
2008-08,45,32,49
2008-09,42,33,63
2008-10,42,29,74
2008-11,41,28,59
2008-12,37,27,53
2009-01,53,37,56
2009-02,47,31,58
2009-03,49,29,61
2009-04,51,29,59
2009-05,49,29,56
2009-06,47,28,55
2009-07,47,29,56
2009-08,48,31,58
2009-09,45,31,60
2009-10,44,28,56
2009-11,43,28,53
2009-12,39,27,47
2010-01,59,37,53
2010-02,51,32,54
2010-03,51,30,54
2010-04,52,30,57
2010-05,51,29,55
2010-06,49,29,52
2010-07,50,30,52
2010-08,49,32,52
2010-09,47,32,53
2010-10,46,29,51
2010-11,44,29,50
2010-12,41,29,46
2011-01,61,39,50
2011-02,53,34,52
2011-03,55,33,52
2011-04,59,31,50
2011-05,58,32,50
2011-06,55,32,48
2011-07,55,31,49
2011-08,52,34,57
2011-09,50,36,52
2011-10,49,34,50
2011-11,49,34,48
2011-12,44,32,43
2012-01,65,43,46
2012-02,58,38,48
2012-03,57,36,47
2012-04,57,35,47
2012-05,56,35,49
2012-06,54,36,44
2012-07,56,37,45
2012-08,55,38,45
2012-09,51,38,47
2012-10,48,34,46
2012-11,45,33,43
2012-12,42,33,39
2013-01,65,44,46
2013-02,59,39,48
2013-03,59,39,46
2013-04,60,38,48
2013-05,56,37,47
2013-06,56,37,45
2013-07,55,38,46
2013-08,53,40,46
2013-09,51,41,48
2013-10,49,38,49
2013-11,46,38,44
2013-12,42,37,40
2014-01,62,48,47
2014-02,54,43,48
2014-03,55,43,47
2014-04,54,41,47
2014-05,52,39,44
2014-06,51,39,44
2014-07,48,40,46
2014-08,47,42,45
2014-09,46,42,49
2014-10,44,38,48
2014-11,42,38,44
2014-12,39,39,42
2015-01,57,50,46
2015-02,49,44,47
2015-03,51,44,46
2015-04,52,43,48
2015-05,49,42,44
2015-06,49,43,45
2015-07,47,43,48
2015-08,46,44,48
2015-09,44,45,49
2015-10,42,41,46
2015-11,40,42,42
2015-12,38,41,41
2016-01,53,52,45
2016-02,49,48,46
2016-03,49,48,44
2016-04,50,46,44
2016-05,48,46,42
2016-06,45,47,46
2016-07,45,58,42
2016-08,46,54,42
2016-09,43,50,44
2016-10,40,46,41
2016-11,39,45,44
2016-12,37,46,39
2017-01,55,58,43
2017-02,57,51,45
2017-03,52,50,46
2017-04,50,49,42
2017-05,49,48,44
2017-06,48,51,43
2017-07,51,52,44
2017-08,47,52,44
2017-09,44,51,47
2017-10,45,48,46
2017-11,43,47,47
2017-12,40,46,52
2018-01,60,60,56
2018-02,54,52,50
2018-03,55,51,49
2018-04,58,50,48
2018-05,55,49,46
2018-06,53,51,45
2018-07,54,51,46
2018-08,51,51,47
2018-09,48,51,47
2018-10,46,47,48
2018-11,44,48,43
2018-12,42,48,41
2019-01,63,59,46
2019-02,52,53,47
2019-03,53,52,45
2019-04,55,49,45
2019-05,48,47,48
2019-06,48,52,47
2019-07,48,52,48
2019-08,46,52,57
2019-09,44,52,50
2019-10,43,48,53
2019-11,42,51,50
2019-12,38,49,48
2020-01,53,60,54
2020-02,48,54,60
2020-03,34,51,76
2020-04,37,37,65
2020-05,43,38,62
2020-06,44,43,67
2020-07,43,44,63
2020-08,43,46,60
