,Veterans Day,Memorial Day,Labor Day,Golden Globe Awards,Super Bowl
according,0.0,4.0,3.0,0.0,3.0
across,0.0,3.0,1.0,0.0,0.0
act,3.0,2.0,0.0,0.0,2.0
acting,1.0,0.0,0.0,9.0,0.0
active,0.0,1.0,0.0,2.0,3.0
actor,0.0,0.0,0.0,9.0,0.0
actors,0.0,0.0,0.0,7.0,0.0
actress,0.0,0.0,0.0,17.0,0.0
actually,0.0,0.0,0.0,0.0,4.0
addition,1.0,0.0,0.0,0.0,4.0
address,2.0,3.0,0.0,0.0,1.0
adopted,1.0,5.0,1.0,0.0,0.0
afc,0.0,0.0,0.0,0.0,14.0
afl,0.0,0.0,0.0,0.0,15.0
afl–nfl,0.0,0.0,0.0,0.0,4.0
against,1.0,0.0,0.0,0.0,6.0
alabama,3.0,1.0,0.0,0.0,0.0
also,4.0,3.0,3.0,7.0,10.0
alternative,0.0,0.0,3.0,0.0,1.0
although,0.0,2.0,0.0,1.0,2.0
america,2.0,0.0,2.0,3.0,4.0
american,1.0,12.0,4.0,2.0,10.0
americans,1.0,4.0,0.0,0.0,0.0
among,0.0,1.0,1.0,2.0,1.0
angeles,0.0,0.0,0.0,5.0,9.0
anniversary,1.0,2.0,0.0,0.0,1.0
annual,1.0,4.0,0.0,2.0,5.0
annually,2.0,1.0,0.0,1.0,1.0
another,1.0,0.0,1.0,2.0,3.0
anthem,0.0,0.0,0.0,0.0,4.0
appearance,0.0,0.0,0.0,1.0,5.0
appearances,0.0,0.0,0.0,1.0,5.0
appeared,0.0,0.0,0.0,0.0,5.0
april,0.0,4.0,0.0,2.0,1.0
area,0.0,0.0,0.0,3.0,6.0
arizona,0.0,0.0,0.0,0.0,6.0
armed,4.0,3.0,0.0,0.0,0.0
armistice,12.0,2.0,0.0,0.0,0.0
army,1.0,4.0,0.0,0.0,0.0
around,0.0,0.0,2.0,0.0,4.0
association,0.0,2.0,2.0,9.0,0.0
audience,0.0,0.0,0.0,0.0,7.0
average,0.0,1.0,0.0,0.0,5.0
award,2.0,0.0,0.0,23.0,2.0
awarded,0.0,0.0,0.0,9.0,8.0
awards,0.0,0.0,0.0,38.0,0.0
b,0.0,2.0,0.0,5.0,0.0
back,1.0,1.0,0.0,0.0,6.0
baltimore,0.0,0.0,0.0,0.0,8.0
bay,0.0,0.0,0.0,0.0,10.0
became,0.0,2.0,3.0,1.0,9.0
because,4.0,2.0,1.0,0.0,4.0
become,0.0,2.0,2.0,0.0,2.0
becoming,0.0,1.0,1.0,0.0,2.0
began,0.0,2.0,0.0,1.0,2.0
begin,0.0,0.0,5.0,0.0,1.0
