Timestamp,ID (see instructions above),Ratings [10 Things I Hate about You],Ratings [Agent Cody Banks],Ratings [Airplane],Ratings [Alice in Borderland],Ratings [All American],Ratings [American Horror Story],Ratings [American Psycho],Ratings [Arrested Development],Ratings [Avatar the Last Airbender],Ratings [Bojack Horseman],Ratings [Bones],Ratings [Breaking Bad],Ratings [Bridgerton],Ratings [Community],Ratings [Criminal Minds],Ratings [Dawson's Creek],Ratings [Dead Poets Society],Ratings [Dead to Me],Ratings [Demon Slayer],Ratings [Fargo],Ratings [Forrest Gump],Ratings [Friends],Ratings [Get Smart],Ratings [Godzilla vs Kong],Ratings [Gone in 60 Seconds],Ratings [Good Girls],Ratings [Good Will Hunting],Ratings [Gossip Girl],Ratings [Grey's Anatomy],Ratings [Gumball],Ratings [Hawaii FIve-0],Ratings [Indiana Jones],Ratings [Infinity Train],Ratings [Interstellar],Ratings [Johnny Test],Ratings [Justin Bieber: Never Say Never],Ratings [Knives Out],Ratings [La La Land],Ratings [Legally Blond],Ratings [Life in Pieces],Ratings [Lost],Ratings [Miracle],Ratings [Money Heist],Ratings [Mythbusters],Ratings [National Treasure],Ratings [New Girl],Ratings [One Tree Hill],Ratings [Outer Banks],Ratings [Ozark],Ratings [Pokemon 3: The Movie],Ratings [Pride and Prejudice],Ratings [Riverdale],Ratings [Rubber],Ratings [Schitt's Creek],Ratings [Scott Pilgrim vs the World],Ratings [Shrek],Ratings [Sixth Sense],Ratings [Sleepless in Seattle],Ratings [Sonic],Ratings [Space Jam],Ratings [Spongebob Squarepants],Ratings [Star Trek:  Deep Space Nine],Ratings [Star Trek:  Enterprise],Ratings [Star Trek:  Next Generation],Ratings [Star Trek:  Original Series],Ratings [Star Trek: Voyager],Ratings [Star Wars: A New Hope],Ratings [Stranger Things],Ratings [Suite Life of Zach and Cody],Ratings [Superbad],Ratings [The 100],Ratings [The Amazing Race],Ratings [The Black Panther],Ratings [The Blacklist],Ratings [The Croods],Ratings [The Hangover],Ratings [The Lord of the Rings],Ratings [The Mandalorian],Ratings [The Office],Ratings [The Queen's Gambit],Ratings [The Sandlot],Ratings [The Simpsons],Ratings [The Umbrella Academy],Ratings [The Walking Dead],Ratings [This is Us],Ratings [Tom and Jerry],Ratings [Transformers],Ratings [Underworld],Ratings [Wandavision],Ratings [We Bare Bears]
4/12/2021 7:48:32,,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,2 stars,N/A,N/A,N/A,4 stars,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,1 star,2 stars,N/A,N/A,3 stars,N/A,N/A,N/A,3 stars,N/A,N/A,5 stars,N/A,5 stars,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,N/A,5 stars,4 stars,5 stars,5 stars,4 stars,5 stars,N/A,N/A,N/A,N/A,3 stars,5 stars,3 stars,3 stars,N/A,5 stars,5 stars,4 stars,5 stars,4 stars,3 stars,N/A,4 stars,N/A,N/A,N/A,N/A,5 stars,N/A
4/12/2021 8:59:31,Cat,4 stars,,,,,,,,4 stars,,,3 stars,,,4 stars,5 stars,,5 stars,,,,5 stars,,,,4 stars,,5 stars,4 stars,,,,,,,,,,4 stars,,,,,,4 stars,4 stars,,,,,,,,5 stars,,,,,,,,,,,,,4 stars,,4 stars,4 stars,,4 stars,5 stars,,,4 stars,,,3 stars,,,,,3 stars,,,,,,
4/12/2021 9:02:42,emilyw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,3 stars,1 star,N/A,N/A,3 stars,5 stars,N/A,N/A,N/A,N/A,3 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,4 stars,1 star,N/A,2 stars,4 stars,5 stars,2 stars,N/A,N/A,2 stars,N/A,3 stars,N/A,3 stars,N/A,N/A,N/A,1 star,N/A,2 stars,,2 stars,1 star,N/A,N/A,2 stars,4 stars,N/A,N/A,N/A,N/A,N/A,4 stars,1 star,5 stars,N/A,2 stars,2 stars,4 stars,N/A,2 stars,3 stars,N/A,N/A,4 stars,4 stars,2 stars,1 star,1 star,1 star,5 stars,4 stars,1 star,N/A,3 stars,N/A
4/12/2021 9:09:10,Gazimon,N/A,N/A,N/A,N/A,N/A,2 stars,3 stars,2 stars,5 stars,5 stars,2 stars,1 star,N/A,5 stars,5 stars,2 stars,N/A,N/A,5 stars,N/A,N/A,2 stars,5 stars,5 stars,N/A,N/A,N/A,N/A,1 star,5 stars,1 star,4 stars,5 stars,1 star,3 stars,1 star,4 stars,2 stars,5 stars,N/A,1 star,N/A,N/A,4 stars,5 stars,3 stars,N/A,N/A,N/A,5 stars,N/A,1 star,4 stars,2 stars,5 stars,5 stars,3 stars,N/A,5 stars,5 stars,3 stars,1 star,1 star,1 star,1 star,1 star,5 stars,4 stars,4 stars,N/A,N/A,1 star,5 stars,N/A,3 stars,3 stars,5 stars,4 stars,4 stars,1 star,2 stars,3 stars,4 stars,2 stars,N/A,3 stars,4 stars,N/A,5 stars,5 stars
4/12/2021 9:58:51,MTN,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,1 star,5 stars,N/A,3 stars,N/A,3 stars,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,4 stars,3 stars,N/A,N/A,N/A,N/A,N/A,1 star,1 star,N/A,N/A,3 stars,N/A,4 stars,N/A,N/A,N/A,3 stars,5 stars,N/A,N/A,N/A,N/A,5 stars,N/A,2 stars,N/A,N/A,N/A,N/A,5 stars,1 star,N/A,N/A,4 stars,4 stars,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,5 stars,5 stars,N/A,N/A,N/A,4 stars,N/A,2 stars,N/A,5 stars,5 stars,3 stars,5 stars,5 stars,N/A,5 stars,N/A,N/A,5 stars,N/A,N/A,5 stars,N/A
4/12/2021 10:00:01,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,2 stars,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,5 stars,N/A,4 stars,5 stars,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,4 stars,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,4 stars,N/A,N/A,N/A,N/A,N/A,4 stars,N/A,N/A,N/A
4/12/2021 10:04:24,Chico,4 stars,N/A,5 stars,N/A,3 stars,1 star,N/A,N/A,5 stars,N/A,N/A,N/A,N/A,N/A,3 stars,N/A,N/A,N/A,N/A,N/A,5 stars,3 stars,5 stars,N/A,N/A,N/A,5 stars,N/A,1 star,N/A,2 stars,N/A,N/A,N/A,1 star,N/A,5 stars,5 stars,4 stars,N/A,N/A,N/A,N/A,4 stars,3 stars,4 stars,N/A,3 stars,N/A,3 stars,N/A,3 stars,2 stars,3 stars,N/A,5 stars,N/A,5 stars,N/A,3 stars,4 stars,N/A,N/A,N/A,N/A,N/A,4 stars,2 stars,2 stars,3 stars,1 star,N/A,4 stars,N/A,2 stars,3 stars,4 stars,5 stars,5 stars,5 stars,2 stars,3 stars,N/A,N/A,N/A,2 stars,1 star,N/A,3 stars,N/A
4/12/2021 10:10:08,Baars,5 stars,,,,,,,,4 stars,,5 stars,,,,,,,,,2 stars,5 stars,3 stars,,,,,5 stars,,5 stars,,5 stars,1 star,,,,5 stars,,,4 stars,,2 stars,,,,2 stars,,,,3 stars,,,,,,,3 stars,2 stars,,,,5 stars,,,,,,,,3 stars,,,,,,5 stars,4 stars,5 stars,,,,,1 star,,,,,5 stars,,,
4/12/2021 11:01:01,Arthur King,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 stars,3 stars,3 stars,4 stars,,,,,,,,,5 stars,4 stars,4 stars,4 stars,,,,,,5 stars,,,,,,,4 stars,,,,,,,4 stars,4 stars,,,,,,,,,4 stars,,5 stars,,,,,5 stars,,,,,,,4 stars,,,4 stars,,,,,4 stars,4 stars,5 stars,4 stars,,,,,,,,,,4 stars,
4/12/2021 11:02:56,paigep,3 stars,N/A,N/A,N/A,4 stars,2 stars,N/A,N/A,3 stars,N/A,N/A,3 stars,N/A,N/A,5 stars,2 stars,N/A,N/A,N/A,N/A,3 stars,5 stars,N/A,N/A,N/A,N/A,N/A,4 stars,5 stars,N/A,2 stars,2 stars,N/A,N/A,N/A,1 star,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,3 stars,4 stars,3 stars,N/A,5 stars,1 star,N/A,N/A,N/A,N/A,N/A,N/A,2 stars,N/A,N/A,N/A,N/A,1 star,N/A,N/A,N/A,N/A,N/A,N/A,4 stars,3 stars,N/A,N/A,N/A,N/A,N/A,3 stars,4 stars,N/A,5 stars,5 stars,N/A,3 stars,N/A,N/A,N/A,2 stars,1 star,1 star,N/A,N/A,N/A
