Date,Euro_to_Dollar,Dollar,Gold (oz),AAPL,AMZN
11/1/10,1.310393,0.76312984,1385,9.602749,175.399994
12/1/10,1.330123,0.751810171,1421.1,9.954883,180
1/1/11,1.357276,0.736769824,1333.8,10.472136,169.639999
2/1/11,1.373438,0.728099849,1409.3,10.900808,173.289993
3/1/11,1.41213,0.708150099,1438.9,10.755758,180.130005
4/1/11,1.482096,0.674720126,1556,10.805753,195.809998
5/1/11,1.432234,0.698209929,1535.9,10.73477,196.690002
6/1/11,1.44789,0.690660202,1502.3,10.359487,204.490005
7/1/11,1.433199,0.697739811,1628.3,12.051039,222.520004
8/1/11,1.443314,0.692849927,1828.5,11.876668,215.229996
9/1/11,1.358585,0.736059945,1620.4,11.768343,216.229996
10/1/11,1.414007,0.707210077,1724.2,12.492363,213.509995
11/1/11,1.33241,0.750519735,1745.5,11.795497,192.289993
12/1/11,1.295605,0.771840183,1565.8,12.499158,173.100006
1/1/12,1.313957,0.761059913,1737.8,14.087938,194.440002
2/1/12,1.3478,0.741949844,1709.9,16.740845,179.690002
3/1/12,1.334508,0.749339832,1669.3,18.503378,202.509995
4/1/12,1.324152,0.755200309,1663.4,18.022854,231.899994
5/1/12,1.237471,0.808099745,1562.6,17.829969,212.910004
6/1/12,1.266496,0.78958007,1603.5,18.023472,228.350006
7/1/12,1.225941,0.81569994,1610.5,18.849346,233.300003
8/1/12,1.251095,0.799299813,1684.6,20.530706,248.270004
9/1/12,1.291322,0.774400188,1771.1,20.67651,254.320007
10/1/12,1.29626,0.771450172,1717.5,18.451712,232.889999
11/1/12,1.297353,0.770800237,1710.9,18.140528,252.050003
12/1/12,1.322769,0.755989897,1674.8,16.56974,250.869995
1/1/13,1.356834,0.737009833,1660.6,14.182214,265.5
2/1/13,1.315097,0.760400183,1577.7,13.743506,264.269989
3/1/13,1.280787,0.780769948,1594.8,13.863063,266.48999
4/1/13,1.309586,0.7636001,1472.2,13.866817,253.809998
5/1/13,1.304393,0.766640115,1392.6,14.084477,269.200012
6/1/13,1.303594,0.767110005,1223.8,12.500582,277.690002
7/1/13,1.326489,0.753869802,1312.4,14.265975,301.220001
8/1/13,1.322401,0.756200275,1396.1,15.35958,280.980011
9/1/13,1.349546,0.740989933,1326.5,15.128744,312.640015
10/1/13,1.372401,0.728650008,1323.6,16.586884,364.029999
11/1/13,1.359398,0.735619738,1250.6,17.645813,393.619995
12/1/13,1.381006,0.724109816,1201.9,17.906834,398.790009
1/1/14,1.355877,0.737530027,1240.1,15.978329,358.690002
2/1/14,1.370746,0.72952976,1321.4,16.796713,362.100006
3/1/14,1.375213,0.727160084,1283.4,17.234411,336.369995
4/1/14,1.381368,0.723920056,1295.6,18.947445,304.130005
5/1/14,1.363457,0.733429804,1245.6,20.325262,312.549988
6/1/14,1.364443,0.732899799,1321.8,21.004162,324.779999
7/1/14,1.339603,0.746489818,1281.3,21.607637,312.98999
8/1/14,1.313456,0.761350209,1285.8,23.167181,339.040009
9/1/14,1.269084,0.787969906,1210.5,22.88492,322.440002
10/1/14,1.261336,0.792810163,1171.1,24.531713,305.459991
11/1/14,1.246199,0.80244006,1175.2,27.014416,338.640015
12/1/14,1.216205,0.822229805,1183.9,25.181044,310.350006
1/1/15,1.128796,0.885899667,1278.5,26.72777,354.529999
2/1/15,1.120536,0.892430051,1212.6,29.305643,380.160004
3/1/15,1.083025,0.92333972,1183.1,28.498304,372.100006
4/1/15,1.111432,0.899740155,1183.5,28.66321,421.779999
5/1/15,1.096035,0.912379623,1189.4,29.838139,429.230011
6/1/15,1.122297,0.891029736,1172.1,28.847332,434.089996
7/1/15,1.093924,0.914140288,1094.9,27.897482,536.150024
8/1/15,1.134005,0.881830327,1131.6,25.93339,512.890015
9/1/15,1.125594,0.888419803,1115.5,25.482449,511.890015
10/1/15,1.100897,0.908350191,1141.5,27.607912,625.900024
11/1/15,1.058302,0.944909865,1065.8,27.330675,664.799988
12/1/15,1.093398,0.914580052,1060.3,24.422157,675.890015
1/1/16,1.082591,0.923709878,1117.3,22.584578,587
2/1/16,1.092395,0.915419789,1233.9,22.433773,552.52002
3/1/16,1.133466,0.882249666,1234.2,25.424799,593.640015
4/1/16,1.144833,0.873489845,1289.2,21.867334,659.590027
5/1/16,1.11484,0.896989703,1214.8,23.294987,722.789978
6/1/16,1.112805,0.898630039,1318.4,22.43701,715.619995
7/1/16,1.116807,0.89540986,1349,24.457745,758.809998
8/1/16,1.115324,0.89660045,1306.9,24.901323,769.159973
9/1/16,1.121957,0.891299756,1318.8,26.676199,837.309998
10/1/16,1.098467,0.910359619,1271.5,26.791819,789.820007
11/1/16,1.064849,0.939100286,1170.8,26.079195,750.570007
12/1/16,1.054741,0.948100055,1150,27.470144,768.659973
1/1/17,1.070859,0.933829757,1208.6,28.78175,823.47998
2/1/17,1.058425,0.944800057,1252.6,32.491241,845.039978
3/1/17,1.068707,0.935710162,1247.3,34.220959,886.539978
4/1/17,1.086425,0.9204501,1266.1,34.218575,924.98999
5/1/17,1.117169,0.895119718,1272,36.388645,994.619995
6/1/17,1.144165,0.873999816,1240.7,34.448315,968
7/1/17,1.174729,0.851260163,1266.6,35.574905,987.780029
8/1/17,1.189343,0.840800341,1316.2,39.227352,980.599976
9/1/17,1.174164,0.851669784,1281.5,37.008904,961.349976
10/1/17,1.16527,0.858170209,1267,40.591652,1105.28003
11/1/17,1.185199,0.843740165,1277.9,41.266426,1176.75
12/1/17,1.200005,0.833329861,1306.3,40.783367,1169.46997
1/1/18,1.240957,0.805829694,1339,40.349579,1450.89002
2/1/18,1.223032,0.817640094,1315.5,42.925804,1512.44995
