ID,Show ratings [Arrested Development],Show ratings [Better Call Saul],Show ratings [The Big Bang Theory],Show ratings [Bird Box],Show ratings [Black Mirror],Show ratings [Breaking Bad],Show ratings [Cars 3],Show ratings [Coco],Show ratings [Criminal Minds],Show ratings [Despicable Me 3],Show ratings [Friends],Show ratings [Gilmore Girls],Show ratings [Glee],Show ratings [The Good Place],Show ratings [The Great British Baking Show],'Show ratings [Grey''s Anatomy]',Show ratings [Guardians of the Galaxy],Show ratings [The Haunting of Hill House],Show ratings [Incredibles 2],Show ratings [NCIS],Show ratings [New Girl],Show ratings [The Office],Show ratings [Orange is the New Black],Show ratings [Parks and Recreation],Show ratings [Riverdale],Show ratings [Sherlock],Show ratings [Stranger Things],Show ratings [That 70s Show],Show ratings [Tidying Up],Show ratings [The Vampire Diaries],Show ratings [The Walking Dead],Show ratings [You]
A,5 (Great!),4,1 (Yuck!),1 (Yuck!),4,5 (Great!),No rating,No rating,2,No rating,No rating,No rating,No rating,No rating,No rating,No rating,3,No rating,No rating,2,No rating,4,No rating,5 (Great!),No rating,No rating,5 (Great!),2,No rating,No rating,2,No rating
B,4,5 (Great!),1 (Yuck!),1 (Yuck!),5 (Great!),5 (Great!),3,3,1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),5 (Great!),1 (Yuck!),1 (Yuck!),5 (Great!),1 (Yuck!),2,No rating,No rating,2,1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!)
C,No rating,No rating,1 (Yuck!),No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating,3,No rating,No rating,No rating,3,No rating,5 (Great!),No rating,No rating,4,No rating,5 (Great!),No rating,5 (Great!),No rating,No rating,5 (Great!),3,No rating,No rating,4,No rating
D,5 (Great!),4,1 (Yuck!),No rating,No rating,5 (Great!),No rating,No rating,No rating,No rating,2,No rating,No rating,No rating,No rating,No rating,4,No rating,4,2,4,5 (Great!),No rating,5 (Great!),No rating,No rating,5 (Great!),3,No rating,No rating,2,No rating
E,No rating,No rating,4,No rating,No rating,No rating,4,4,No rating,3,2,No rating,4,No rating,4,No rating,No rating,No rating,5 (Great!),No rating,5 (Great!),5 (Great!),No rating,4,No rating,No rating,No rating,,No rating,No rating,No rating,4
F,No rating,5 (Great!),No rating,2,4,5 (Great!),No rating,No rating,No rating,No rating,4,No rating,No rating,No rating,No rating,No rating,5 (Great!),No rating,3,No rating,No rating,2,No rating,5 (Great!),3,No rating,2,No rating,No rating,No rating,No rating,2
G,No rating,2,3,4,5 (Great!),5 (Great!),No rating,No rating,3,No rating,3,No rating,No rating,No rating,No rating,No rating,No rating,No rating,3,No rating,4,4,3,No rating,No rating,2,5 (Great!),3,No rating,No rating,No rating,3
H,No rating,No rating,No rating,4,No rating,No rating,3,No rating,No rating,No rating,No rating,No rating,No rating,No rating,No rating,,5 (Great!),No rating,No rating,3,No rating,4,3,No rating,No rating,No rating,5 (Great!),No rating,No rating,No rating,3,No rating
I,No rating,5 (Great!),1 (Yuck!),1 (Yuck!),4,5 (Great!),5 (Great!),No rating,5 (Great!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),1 (Yuck!),2,1 (Yuck!),1 (Yuck!),No rating,5 (Great!),3,No rating,5 (Great!),3,1 (Yuck!),No rating,No rating,5 (Great!),5 (Great!),No rating,No rating,1 (Yuck!),No rating
J,No rating,No rating,No rating,3,No rating,No rating,3,5 (Great!),5 (Great!),No rating,4,No rating,4,3,2,4,4,No rating,No rating,3,5 (Great!),5 (Great!),No rating,No rating,No rating,No rating,No rating,4,No rating,No rating,1 (Yuck!),No rating
